log_r,h,rssi_dbm,phase_rad,log_f
1.0658541225,-0.4783210843,0.0514469308,-0.0210595606,-0.1413914229
1.056713979,-0.3078685784,0.0514469308,-0.8446753556,1.4119687858
1.056713979,-0.3078685784,0.0514469308,-0.6877961566,1.4119687858
1.0543250937,-0.2688232601,0.3840227177,-0.2563783592,0.0005950224
1.0475127541,-0.167435731,0.0514469308,-0.6877961566,1.4821356067
1.0391994675,-0.064485178,0.3840227177,0.4103582368,-0.0703787554
1.017644733,0.1319384729,0.3840227177,-0.5701367573,0.2841020864
1.0059417412,0.2279530639,0.3840227177,-0.9035050552,-0.2835335978
1.0059417412,0.2279530639,0.2177348243,-0.5701367573,-0.2835335978
0.9918224442,0.3327661645,-0.1148409627,-0.3544278586,1.2012400972
0.9893014477,0.3513266884,0.3840227177,-1.2957030529,0.071529953
0.978446002,0.4212975073,0.3840227177,-1.0211644545,0.071529953
0.978446002,0.4212975073,-0.2811288562,0.9202156336,1.6924084191
0.9252443809,0.6095699269,-0.1148409627,-0.6877961566,-0.2124430228
3.243886476,0.3253843673,0.2177348243,1.5085126301,-0.8536664501
0.8505598635,0.8275444562,0.0514469308,-0.1975486595,1.7624236099
0.8466848572,0.8348338624,0.2177348243,1.2339740317,0.2132834426
0.8269079165,0.8670549072,-0.1148409627,-1.6290713508,1.6223553823
0.8072859862,0.893612219,-0.4474167497,-1.6879010505,0.3548820526
0.761074747,0.948772074,-0.2811288562,1.194754232,1.5522644585
0.7603422823,0.9493426286,-0.1148409627,-0.6877961566,0.1424260789
3.1965372236,0.4539557346,-1.278856217,1.6261720293,-0.7822625282
0.7310237596,0.9696905082,-0.7799925366,1.2339740317,0.6376159853
1.0779912153,1.777437708,-0.6137046431,-0.4132575582,1.4119687858
0.6812102665,1.0286152425,-0.6137046431,0.3123087373,0.0005950224
0.4141744324,1.3528300082,-0.1148409627,-0.9623347549,-1.3545984955
0.3837898679,1.3669265535,-0.1148409627,-0.9035050552,-0.9965924254
0.3189089341,1.4243014003,-0.4474167497,0.1946493381,-0.8536664501
-0.094633069,2.5007735035,-0.1148409627,-0.2955981589,1.2715210723
2.7110209025,0.4974661194,-0.2811288562,0.6260671354,-1.0681145657
2.7016390269,0.485072653,-0.1148409627,-0.6877961566,-1.2112773695
2.6986076173,0.4813972483,-0.6137046431,-1.6290713508,-0.2835335978
2.6894007214,0.4739840151,-0.6137046431,-0.8054555558,-0.2835335978
2.6894007214,0.4739840151,-0.6137046431,-0.0798892603,0.4963261212
2.6866300305,0.4747108368,-0.6137046431,0.3123087373,0.4963261212
2.6747203397,0.4718273185,-0.2811288562,0.1358196384,0.071529953
2.6471668244,0.4666791925,0.7165985047,-0.5701367573,-1.2829181203
2.6300838388,0.4652814263,0.8828863982,-1.0211644545,-1.3545984955
2.6212662024,0.4657256197,0.0514469308,-1.1780436536,-0.9965924254
2.595980954,0.4562826332,0.2177348243,1.351633431,-0.8536664501
